file,lines,severity,evidence,confidence,mitigation
routes/export.py,64.0,Critical,Remote Code Execution,Low,See report
routes/admin.py,19.0,Critical,"Unauthorized access, privilege escalation",High,See report
config.py,14.0,High,Session forgery,Med,See report
models/user.py,24.0,High,Credential compromise,High,See report
routes/auth.py,N/A,High,Credential exposure via logs,High,See report
routes/notes.py,N/A,High,"Script injection, session hijacking",Med,See report
templates/note_detail.html,N/A,High,"Script injection, session hijacking",Med,See report
templates/note_detail.html,template rendering,High,Stored XSS vulnerability due to unsanitized HTML rendering,High,Escape user input before rendering
utils/files.py,21.0,Medium,Arbitrary file read,Med,See report
routes/auth.py,logging,Medium,Plaintext password logging detected,High,Do not log sensitive user credentials
config.py,14.0,Low,"Data exposure, potential RCE",Low,See report
